T	p	rho	h	e	g	s	cp	cv	gamma_s	sound	dVdT_p	dVdp_T	dPdV_T	dPdT_V
2.00000000e+02	1.01325000e+00	1.76323239e+00	-9.96922306e+01	-1.57157713e+02	-1.39626666e+03	6.48287213e+00	1.01367342e+00	7.21430379e-01	1.40089103e+00	2.83730292e+02	1.01002750e+00	-1.00299618e+00	-9.97012772e-01	1.00701031e+00
2.00000000e+02	1.21590000e+01	2.18635743e+01	-1.06065209e+02	-1.61678257e+02	-1.25491896e+03	5.74426874e+00	1.06827678e+00	7.28041467e-01	1.41707246e+00	2.80727124e+02	1.12560018e+00	-1.03546546e+00	-9.65749260e-01	1.08704754e+00
2.00000000e+02	2.33047500e+01	4.32724535e+01	-1.12487451e+02	-1.66343306e+02	-1.21925345e+03	5.53383001e+00	1.12942153e+00	7.34863888e-01	1.44159621e+00	2.78636676e+02	1.24984605e+00	-1.06611861e+00	-9.37981942e-01	1.17233303e+00
2.00000000e+02	3.44505000e+01	6.59793007e+01	-1.18921410e+02	-1.71135513e+02	-1.19850710e+03	5.39792847e+00	1.19680890e+00	7.41872271e-01	1.47550363e+00	2.77564584e+02	1.38030238e+00	-1.09334039e+00	-9.14628244e-01	1.26246354e+00
2.00000000e+02	4.55962500e+01	8.99159820e+01	-1.25317760e+02	-1.76027599e+02	-1.18407584e+03	5.29379041e+00	1.26944077e+00	7.49026722e-01	1.51971898e+00	2.77605305e+02	1.51293165e+00	-1.11519764e+00	-8.96702040e-01	1.35664890e+00
2.00000000e+02	5.67420000e+01	1.14942458e+02	-1.31615800e+02	-1.80981371e+02	-1.17313089e+03	5.20757545e+00	1.34545666e+00	7.56271386e-01	1.57490126e+00	2.78829516e+02	1.64209477e+00	-1.12963650e+00	-8.85240521e-01	1.45364883e+00
2.00000000e+02	6.78877500e+01	1.40839721e+02	-1.37746225e+02	-1.85948358e+02	-1.16438167e+03	5.13317723e+00	1.42213857e+00	7.63535378e-01	1.64127856e+00	2.81270560e+02	1.76099860e+00	-1.13482907e+00	-8.81189973e-01	1.55177431e+00
2.00000000e+02	7.90335000e+01	1.67315853e+02	-1.43636602e+02	-1.90872712e+02	-1.15712831e+03	5.06745854e+00	1.49618296e+00	7.70737019e-01	1.71850949e+00	2.84913501e+02	1.86270354e+00	-1.12960485e+00	-8.85265318e-01	1.64898684e+00
2.00000000e+02	9.01792500e+01	1.94028180e+02	-1.49218893e+02	-1.95696291e+02	-1.15094782e+03	5.00864463e+00	1.56423658e+00	7.77791282e-01	1.80562697e+00	2.89690946e+02	1.94148491e+00	-1.11381056e+00	-8.97818743e-01	1.74310154e+00
2.00000000e+02	1.01325000e+02	2.20618429e+02	-1.54437197e+02	-2.00364911e+02	-1.14556505e+03	4.95563925e+00	1.62353419e+00	7.84618924e-01	1.90110337e+00	2.95488292e+02	1.99404566e+00	-1.08842104e+00	-9.18762099e-01	1.83205358e+00
